CS,DEM,SL,AMP,AMT,AME,NDVI,NL,POP,GDP
73.46 ,2180.57 ,13.29 ,885.6041463,14.59774272,1105.8125,7426.59749,0,0.408248812,227.0735703
65.05 ,2036.46 ,18.54 ,893.3375244,15.28593763,1115.333333,6776.420468,0.023644973,0.781685929,231.5945969
72.68 ,2048.68 ,16.66 ,888.8479411,15.40451368,1109.166667,7332.718251,0,0.578580658,222.0189222
77.15 ,1977.74 ,19.95 ,881.7270711,15.69097201,1105.8125,7485.527032,0,0.34516409,198.5012525
70.29 ,1765.22 ,18.56 ,864.4708252,16.79166603,1158,6949.26704,0,0.33219862,211.545934
64.43 ,1571.66 ,15.42 ,843.0604248,17.85434024,1261.541667,6906.001178,0,0.328187913,215.2718404
55.40 ,1804.22 ,11.83 ,885.1520996,16.71736081,1251.979167,6696.259106,0,0.682672381,226.27425
65.40 ,1841.02 ,11.60 ,888.270874,16.4585069,1236,6636.906477,0,1.284180919,232.7399203
65.19 ,1748.56 ,7.62 ,879.9375,16.76284663,1262.6875,6357.957057,0,1.345498721,226.842514
62.32 ,1761.26 ,7.08 ,880.6479085,16.60173543,1246.104167,6323.057757,0,0.926342626,220.7901891
68.34 ,1862.80 ,10.21 ,887.0354411,16.01163165,1180.375,6676.986828,0,0.833061417,220.0356013
64.10 ,2047.22 ,13.90 ,899.5062459,15.06354141,1120.4375,7096.970916,0.017855062,0.824200312,222.9016024
67.82 ,1981.24 ,16.72 ,896.65625,15.41961829,1097.583333,7506.286675,0.021061214,0.828595042,204.256115
50.33 ,1668.45 ,18.87 ,858.6604411,16.78055636,1150.708333,7413.344508,0,0.531713625,217.5147031
56.13 ,1723.02 ,18.27 ,857.6479289,16.63489532,1174.979167,7516.715258,0,0.856123288,220.3979747
46.95 ,1973.03 ,16.55 ,877.510437,15.26961835,1127.3125,7518.05738,0,1.757124464,221.7440389
69.15 ,2588.19 ,21.53 ,910.0645752,11.88541667,1018.458333,7384.843877,0,0.585357805,210.6673533
69.63 ,2780.38 ,21.25 ,926.7687174,9.993923823,929.4583333,7886.525848,0,0.310261945,217.331782
80.30 ,2983.25 ,24.36 ,942.1916707,8.323784828,850.3125,8272.92762,0,0.043876273,198.6421102
72.17 ,2782.48 ,25.68 ,934.3270874,9.477951686,887.1041667,7802.732847,0,0.068111879,199.2205429
81.41 ,2831.62 ,28.19 ,938.1750081,9.455034892,884.4583333,8069.86079,0,0.129517126,194.6310883
73.52 ,2488.63 ,26.38 ,920.1645915,11.32829857,937.4791667,7938.474664,0,0.217373962,204.6363233
75.97 ,2314.21 ,28.04 ,902.7958171,12.83315976,1015.541667,7744.609757,0,0.310542057,198.9758352
59.33 ,2167.97 ,29.34 ,884.4207967,14.14930534,1033.729167,7584.50909,0,0.501506676,207.8592478
74.29 ,1767.17 ,20.09 ,795.3770549,17.78993098,1256.041667,7422.169192,0,0.117581663,1032.041168
71.33 ,1921.06 ,19.62 ,814.5604045,16.57968712,1168.875,7674.117361,0,0.134254868,1045.010213
71.59 ,1715.34 ,19.62 ,809.0603841,17.7967008,1223.75,7381.580182,0,0.188764145,1131.77006
51.78 ,1355.41 ,13.74 ,783.7666626,19.94427045,1337.875,6842.578311,0.468805953,1.844236652,1256.99349
31.09 ,1191.23 ,10.66 ,778.1937663,20.82256889,1381.395833,6103.591167,5.157118837,20.01892408,1935.911255
49.94 ,1351.83 ,12.23 ,786.2062581,20.29270808,1378.3125,6295.269704,0.44979167,1.748190522,1353.800557
24.95 ,1353.24 ,10.32 ,794.5500285,20.36510404,1366.958333,5216.269274,2.373885512,1.757567724,1638.221649
25.62 ,1119.87 ,11.40 ,783.8458455,21.42413266,1406.395833,4661.574256,2.216832161,3.626884898,1524.172445
60.53 ,1369.15 ,11.02 ,792.5062459,20.32864507,1365.895833,5870.774567,0.010494791,0.37158972,245.6577479
65.34 ,1559.98 ,14.83 ,816.3479207,18.86718623,1330.458333,6767.077301,0,0.257326638,253.8055763
81.78 ,2027.61 ,15.02 ,869.7270915,15.47708384,1122.375,7602.996677,0,0.28316925,216.9828084
67.19 ,2093.74 ,12.30 ,892.4124959,15.02795156,1116.208333,7082.548311,0,0.590310574,246.6688093
69.59 ,2113.29 ,16.08 ,901.6437581,14.91493003,1120.020833,7065.109135,0,0.475878348,231.5953395
70.83 ,2078.99 ,14.39 ,905.5854085,15.02500025,1096.145833,7426.288056,0,0.521887163,224.3666916
64.87 ,1918.09 ,16.07 ,901.3562419,15.70486101,1102.354167,7313.968896,0,0.529685905,222.2242521
73.15 ,1846.29 ,21.31 ,892.916687,16.038716,1115.208333,7218.117084,0,0.432468553,206.0203959
66.64 ,1718.50 ,11.16 ,884.3729451,16.89045143,1172.166667,6831.008335,0,0.681636413,235.6895612
65.85 ,1827.82 ,10.02 ,895.9604085,16.51406256,1227.270833,6969.294374,0,0.956080536,221.8350919
60.11 ,1875.55 ,13.25 ,903.6750081,16.15902805,1205,6907.135862,0,0.913212121,224.4412842
72.99 ,1794.39 ,11.31 ,900.2729289,16.4269104,1199.875,6863.264016,0,0.870844742,218.7639122
75.49 ,1821.33 ,11.13 ,897.8812459,16.27031295,1196.270833,6902.766955,0,0.664181093,208.2073326
75.21 ,1971.14 ,15.47 ,904.3875122,15.49218686,1161.083333,7179.927786,0,0.654611329,211.0920741
71.22 ,1984.03 ,14.76 ,908.2333577,15.31093693,1128.6875,7284.785086,0,0.652780215,208.0028814
74.47 ,2066.36 ,14.37 ,913.072876,14.89756934,1101.395833,7389.161448,0.011945614,0.435346057,208.1822077
60.36 ,2000.24 ,15.68 ,908.2083333,15.16857592,1106.166667,7349.719747,0,0.423404564,216.1484934
52.86 ,2067.83 ,20.75 ,896.8187256,14.98090299,1093.229167,7303.462649,0,0.983275334,218.1792514
39.80 ,1775.05 ,16.86 ,865.9500122,16.09270827,1142.1875,7587.569072,0,1.911291599,235.8361282
63.21 ,2528.08 ,21.01 ,904.8458252,12.30138906,1040.145833,7212.26948,0,0.73101908,220.2811394
50.65 ,2853.47 ,15.89 ,925.0187581,9.533680598,913.1666667,7022.632156,0,0.311735163,221.7150243
57.11 ,2794.20 ,21.48 ,924.5395711,9.471180598,891,7236.771144,0,0.078968016,219.2995504
