CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,3169.26 ,12.51 ,879.02 ,7.92 ,930.20 ,0.50 ,0.00 ,0.06 ,5.01 ,12670.65 ,32679.96 ,27160.22 ,6594.63 
97.01 ,2638.00 ,6.69 ,894.42 ,10.25 ,1029.84 ,0.47 ,0.00 ,0.20 ,6.28 ,24811.44 ,29700.63 ,14775.23 ,753.33 
175.54 ,2727.75 ,25.75 ,885.01 ,9.46 ,973.10 ,0.52 ,0.00 ,0.24 ,1.75 ,5250.48 ,7362.57 ,4217.52 ,5614.94 
214.76 ,3162.75 ,22.35 ,969.87 ,7.76 ,860.89 ,0.44 ,0.00 ,0.05 ,6.83 ,16981.97 ,27278.70 ,10270.71 ,21850.12 
264.75 ,3085.00 ,18.53 ,919.65 ,8.45 ,916.82 ,0.54 ,0.00 ,0.20 ,31.72 ,28213.25 ,41600.57 ,23968.89 ,5391.43 
239.76 ,1500.00 ,29.42 ,912.47 ,17.90 ,1138.78 ,0.56 ,0.00 ,0.60 ,8.71 ,1175.86 ,34587.97 ,3296.59 ,12957.91 
242.45 ,2502.75 ,21.51 ,922.60 ,11.49 ,995.69 ,0.67 ,0.00 ,0.10 ,33.41 ,3238.05 ,32530.72 ,7850.32 ,4271.71 
197.84 ,2936.00 ,12.17 ,902.41 ,9.18 ,950.71 ,0.51 ,0.00 ,0.70 ,5.64 ,16290.10 ,30773.49 ,517.21 ,10179.76 
242.45 ,3109.50 ,27.15 ,938.98 ,8.19 ,865.62 ,0.67 ,0.00 ,0.02 ,6.17 ,10572.99 ,46734.65 ,9910.98 ,19790.09 
264.75 ,2648.25 ,22.54 ,933.64 ,10.63 ,959.32 ,0.68 ,0.00 ,0.06 ,32.72 ,23914.17 ,25458.35 ,20940.57 ,9737.94 
264.75 ,2700.25 ,19.33 ,879.70 ,10.39 ,969.60 ,0.63 ,0.00 ,0.10 ,5.02 ,14570.09 ,33048.56 ,26998.29 ,7630.69 
